,sub_id,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11
sub-1122,1,2,0.1521,0.204945,-0.4343,-0.10182,0.2779,-0.086645,-0.61625,-0.099645,0.51385,-0.1289,0.33215
sub-1123,2,1,0.4573,0.6097,0.37345,0.070512,0.2917,0.3676,0.12885,0.2586,0.062145,0.092,
sub-1124,3,2,0.36735,0.3553,0.023,0.89725,0.3412,0.53475,-0.094965,0.5736,0.42665,0.0895,0.30405
sub-1126,4,1,0.17485,-0.015,0.2896,0.3549,0.12923,0.32525,-0.06785,0.36965,0.335395,0.180015,0.08035
sub-1127,5,2,0.263,0.24555,0.30665,0.05074,0.27965,0.38965,0.22785,0.093175,0.25615,0.157,
sub-1128,6,2,0.25025,-0.045645,-0.08205,0.31628,0.1886,-0.00655,0.32955,0.343955,0.6051,-0.222605,0.58375
sub-1130,7,1,-0.03832,-0.20492,-0.059495,-0.32165,-0.00386,0.148765,0.1049,0.03839,0.096305,0.238055,0.1837
sub-1131,8,1,0.15134,0.120585,0.5521,0.19845,-0.051065,0.30245,0.0064625,0.114075,0.146115,0.134155,0.18235
sub-1132,9,1,0.45625,0.070875,0.31175,0.39615,-0.041785,0.2529,-0.13881,-0.05341,0.1035815,0.05899,0.03272
sub-1134,10,2,0.224725,0.075425,0.330025,0.1827,0.15826,0.6527,0.2531,0.7335,0.34925,0.2862,0.43785
sub-1135,11,2,0.8355,0.43705,0.2338,0.05379,0.4736,0.20224,0.0669,-0.02402,0.4491,0.109295,
sub-1136,12,2,0.015655,0.4138,0.121281,-0.32145,0.09596,0.001,0.058995,-0.2219,0.17315,,
sub-1138,13,2,-0.11143,0.29465,0.4176,-0.035335,0.1527,0.19514,0.07034,0.5934,0.00285,0.0245015,0.2846
sub-1140,14,1,0.053845,0.187875,0.18335,0.12914,-0.078405,0.279,0.4179,-0.2543,0.11557,0.13528,0.36915
sub-1141,15,1,-0.15595,-0.12591,0.05357,0.2008,-0.22611,0.1416,0.22475,-0.0552,-0.046225,0.10365,
sub-1144,16,1,0.8064,0.6039,0.5704,0.017485,0.06928,0.14245,0.71145,0.338,0.1286,0.29045,0.23015
sub-1145,17,1,-0.072855,0.09626,0.00782,0.294079,0.1212,-0.04338,-0.0308595,-0.1694435,0.2813,-0.23119,
sub-1147,18,2,-0.20793,0.10628,0.186185,0.1765,0.23806,0.3003,0.04,0.1427,0.16253,0.3321,
sub-1148,19,2,0.224045,0.2799,0.1267,-0.203231,0.37025,0.3566,-0.03209,-0.26035,0.060725,-0.5742,
sub-1149,20,1,0.141,-0.06645,0.40635,0.33245,-0.17108,0.39385,0.04622,-0.01067,0.2486,,
sub-1150,21,2,0.15395,-0.0329,0.1031,0.182035,-0.06015,-0.1154,0.3685,0.3593,0.1417,0.14083,
sub-1151,22,2,0.13018,0.49145,-0.171945,-0.00214,-0.061925,0.255085,-0.186575,0.23,0.33565,0.3219,
sub-1154,23,1,0.4472,-0.09585,0.3876,0.37905,0.3045,-0.03455,0.29695,0.134755,0.10376,,
sub-1155,24,1,-0.02622,0.09385,-0.1702,0.049195,0.35035,0.5709,0.2905,0.02375,0.06213,0.108015,
sub-1156,25,2,0.4381,0.2074,0.34129,0.394,0.340815,0.140985,0.29521,-0.02715,0.30649,,
sub-1157,26,2,0.0742,0.041145,-0.02417,0.2085,0.1355,-0.05794,0.39745,0.31195,0.13356,0.05925,0.32375
sub-1158,27,1,0.3604,0.21295,0.31212,0.2964,0.106969,0.39975,0.236265,0.28725,0.38075,0.13715,
sub-1159,28,2,0.81035,0.67705,0.24355,-0.1639,0.215621,0.3847,0.10967,0.81595,0.232995,0.308,
sub-1161,29,2,0.41175,-0.17023,-0.028715,0.4127,0.45225,0.031127,0.05205,0.72515,0.2647,0.09957,
sub-1162,30,2,0.092765,0.14045,0.1212,0.29935,0.21555,0.4889,-0.046485,0.022575,0.14598,-0.006015,
sub-1165,31,2,0.02745,-0.3522615,-0.4937,0.137635,0.65955,0.58306,0.36995,0.56075,0.0223,,
sub-1167,32,1,0.036125,0.149975,0.003698,0.5085,0.0459,0.41805,-0.095125,0.143485,0.1387,,
sub-1168,33,2,0.022685,0.1843,0.3532,0.18605,0.2611,0.29345,0.56925,0.175285,0.27835,-0.05253,0.1701
sub-1169,34,1,0.2603,0.06735,-0.122633,0.30545,0.82865,-0.328825,0.3909,0.41215,0.4076,0.1209,
sub-1171,35,2,0.3842,0.0233,-0.2746,0.74785,0.22381,0.28,0.71555,0.2234,0.4475,,
sub-1173,36,2,0.38308,0.46995,0.0255,0.4335,0.14303,0.55185,0.80635,0.24285,0.070545,0.69155,-0.1792
sub-1174,37,1,0.36115,-0.19671,0.58515,0.238705,0.37305,0.55935,0.38305,0.3765,0.11837,0.55525,0.2429
sub-1175,38,2,0.2505,0.00337,-0.070265,-0.1328,-0.112,0.085805,0.197845,-0.13595,-0.1345,0.3156,-0.26835
sub-1176,39,1,0.2657,-0.04005,0.26075,0.041455,0.18405,0.36285,0.17422,-0.325,-0.161935,-0.30265,
sub-1178,40,1,0.4861,0.3936,-0.01865,0.041465,0.28185,0.15915,0.0158,0.60235,,,
sub-1179,41,1,0.17151,0.11309,0.22625,-0.0993,0.20805,0.39665,-0.1794,0.50815,0.009915,,
sub-1180,42,2,-0.10635,0.336,0.38255,0.126345,-0.034655,-0.0221235,0.5827,-0.085905,0.061075,0.083875,0.201985
sub-1181,43,1,0.06025,-0.20455,0.02567,0.4664,0.18825,0.1643,-0.094295,-0.28975,0.21115,0.04945,-0.3376
sub-1182,44,1,0.50325,0.34285,-0.029615,-0.177125,-0.05959,0.46305,0.2497615,0.13336,0.084365,,
sub-1183,45,1,0.8844,-0.00095,0.8977,0.1989035,0.02715,0.01,-0.00475,0.6282,0.136115,0.42595,-0.19305
sub-1184,46,2,0.4962,0.005415,0.25385,0.33175,0.39365,0.058665,0.4615,0.16345,0.38785,,
sub-1185,47,1,-0.17676,0.0092,0.20905,0.53135,0.06122,-0.09917,0.026417,-0.222375,0.019435,,
sub-1188,48,2,0.2483,0.14694,0.3521,0.53815,0.01464,0.0284685,-0.11695,-0.19202,0.04661,0.188,-0.10479
sub-1189,49,1,0.17715,-0.077605,-0.06315,0.179085,-0.0012,0.00145,0.4504,0.14735,0.07476,,
sub-1190,50,1,-0.047227,0.25005,0.4615,0.23135,0.25545,0.41165,0.29805,0.246725,0.46655,0.03586,
sub-1191,51,1,0.05,-0.04396,0.12965,0.1271,0.47855,-0.14591,0.50325,-0.101806,0.0880455,0.02565,-0.06495
sub-1193,52,1,0.2083,1.18885,0.59135,0.5863,0.65965,0.30125,0.45405,0.58835,0.7998,0.93735,
sub-1195,53,2,0.6148,0.5858,0.084325,0.22305,-0.288735,0.5531,0.4124,0.41695,0.280601,,
sub-1196,54,2,0.9691,0.0324995,-0.41675,-0.02435,-0.019475,-0.133705,-0.116738,-0.040435,0.42005,0.5734,
sub-1197,55,1,-0.24515,0.20905,-0.15115,0.36705,0.4188,0.03185,-0.086185,0.0817,-0.00695,-0.31655,
sub-1198,56,1,-0.035263,-0.111905,0.34057,0.6107,0.35315,0.7066,0.1883,0.228405,0.33235,0.0153345,0.1731
sub-1200,57,1,0.00192,-0.21875,0.03395,-0.12426,0.0814,0.44155,0.26465,-0.0917,0.266355,0.14075,-0.09685
sub-1201,58,2,0.8729,0.78505,0.9925,0.155805,0.87825,0.2608,0.2921,0.8885,0.22225,0.17166,
sub-1202,59,1,0.3989,-0.01125,0.31729,0.4533,-0.0758285,0.2565,-0.0190265,0.200265,0.01875,0.2396,-0.3468
sub-1203,60,2,0.15044,0.23445,-0.085545,0.00694,0.117725,0.047285,0.392045,0.38665,0.078125,-0.034,
sub-1204,61,1,0.079395,0.4454,0.28655,0.24245,-0.071135,0.41065,0.2324,0.44015,0.29745,0.152065,0.176645
sub-1205,62,1,0.5881,0.05715,0.3058,0.098815,-0.075215,-0.10797,0.1504,-0.08069,0.01895,0.105765,
sub-1206,63,2,0.1411,0.18085,0.68315,0.246865,0.266535,0.5156,-0.1656,-0.1391,0.3162,0.80305,1.02325
sub-1207,64,2,-0.10436,-0.06275,-0.0686,0.2505,0.0266,-0.088715,-0.2347,0.080875,-0.08308,-0.48975,
sub-1208,65,2,0.12648,-0.165,-0.079475,0.080945,0.23795,0.3068,0.39425,-0.038665,0.2878,0.42345,
sub-1209,66,2,0.3592,0.88525,0.75545,0.715,0.398,0.58935,0.28597,1.11335,0.34505,0.39675,
sub-1210,67,2,-0.0468,0.38465,0.32865,0.29095,1.438,0.63085,-0.104525,0.4682,0.33295,0.42425,
sub-1211,68,1,0.16862,-0.3237,0.18535,0.14041,0.2231725,0.20155,0.273195,-0.02715,-0.20095,,
